Leg District,Precinct,Office & Party,Candidate,Ballot Order
47,AUB 47-2700,Precinct Committee Officer - Democratic,Patricia Larson,1
47,AUB 47-2700,Precinct Committee Officer - Democratic,Erica Tomas,2
47,AUB 47-2701,Precinct Committee Officer - Democratic,Shantell Sanders,1
47,AUB 47-2701,Precinct Committee Officer - Democratic,Hanan Amer,2
47,AUB 47-2729,Precinct Committee Officer - Democratic,Trevon Cooper,1
47,AUB 47-2729,Precinct Committee Officer - Democratic,TJ Revely,2
41,BEL 41-2943,Precinct Committee Officer - Democratic,Tracey Cook-Lee,1
41,BEL 41-2943,Precinct Committee Officer - Democratic,Janice Bristol,2
41,BEL 41-3371,Precinct Committee Officer - Democratic,Clarence Gunn,1
41,BEL 41-3371,Precinct Committee Officer - Democratic,Orna Berryman,2
48,BEL 48-0128,Precinct Committee Officer - Democratic,Srikant Vemparala,1
48,BEL 48-0128,Precinct Committee Officer - Democratic,Vandana Prashant Mishra,2
48,BEL 48-0217,Precinct Committee Officer - Democratic,Alex Marcellus,1
48,BEL 48-0217,Precinct Committee Officer - Democratic,Rick Kirkham,2
48,BEL 48-2776,Precinct Committee Officer - Democratic,Vikram Modgil,1
48,BEL 48-2776,Precinct Committee Officer - Democratic,Paul B Neil,2
5,BRIAR,Precinct Committee Officer - Democratic,Eric Carlson,1
5,BRIAR,Precinct Committee Officer - Democratic,Gordon Baxter,2
47,COV 47-3279,Precinct Committee Officer - Democratic,Kimberley Darby,1
47,COV 47-3279,Precinct Committee Officer - Democratic,Sean Smith,2
34,COVE,Precinct Committee Officer - Democratic,Orla Blythe,1
34,COVE,Precinct Committee Officer - Democratic,Adrienne Forest,2
34,COVE,Precinct Committee Officer - Democratic,Robert Murano,3
5,ISS 05-2806,Precinct Committee Officer - Democratic,Lamir Magus,1
5,ISS 05-2806,Precinct Committee Officer - Democratic,Marion Palo,2
33,KEN 33-0576,Precinct Committee Officer - Democratic,Michael Neher,1
33,KEN 33-0576,Precinct Committee Officer - Democratic,Lionel Forde,2
33,KEN 33-0595,Precinct Committee Officer - Democratic,Daniel Schirmer,1
33,KEN 33-0595,Precinct Committee Officer - Democratic,Fanny Pacheco,2
33,KEN 33-2567,Precinct Committee Officer - Democratic,Brittany Nicole Furgason,1
33,KEN 33-2567,Precinct Committee Officer - Democratic,Elizabeth A. Watson,2
48,KIR 48-3401,Precinct Committee Officer - Democratic,Bill Cruikshank,1
48,KIR 48-3401,Precinct Committee Officer - Democratic,Margit Moore,2
1,KMR 01-0677,Precinct Committee Officer - Democratic,Madison Long,1
1,KMR 01-0677,Precinct Committee Officer - Democratic,Jack Jensen,2
5,MEADOWBROOK,Precinct Committee Officer - Democratic,Tim Noonan,1
5,MEADOWBROOK,Precinct Committee Officer - Democratic,Roger Ledbetter,2
47,PIPELINE,Precinct Committee Officer - Democratic,Bill Cooper,1
47,PIPELINE,Precinct Committee Officer - Democratic,Laura Billington,2
48,RED 48-3208,Precinct Committee Officer - Democratic,Aleathea Batchelor,1
48,RED 48-3208,Precinct Committee Officer - Democratic,Dawne Adam,2
48,RED 48-4007,Precinct Committee Officer - Democratic,Srikanth Sundaragopalan,1
48,RED 48-4007,Precinct Committee Officer - Democratic,Aspen Richter,2
11,RNT 11-0988,Precinct Committee Officer - Democratic,Richard Dustin Wight,1
11,RNT 11-0988,Precinct Committee Officer - Democratic,Patricia Ogunmola,2
11,RNT 11-0991,Precinct Committee Officer - Democratic,Gina Fuentevilla,1
11,RNT 11-0991,Precinct Committee Officer - Democratic,Rachel Segerhammar,2
11,RNT 11-3222,Precinct Committee Officer - Democratic,Laura Cain-Harris,1
11,RNT 11-3222,Precinct Committee Officer - Democratic,Livey Beha,2
34,SEA 34-1247,Precinct Committee Officer - Democratic,Leslie S Harris,1
34,SEA 34-1247,Precinct Committee Officer - Democratic,Hudayfa Ismail,2
34,SEA 34-1466,Precinct Committee Officer - Democratic,Patrick McKee,1
34,SEA 34-1466,Precinct Committee Officer - Democratic,Nicole Frickle,2
34,SEA 34-1487,Precinct Committee Officer - Democratic,Jesse Scott-Kandoll,1
34,SEA 34-1487,Precinct Committee Officer - Democratic,Helen Sernett,2
36,SEA 36-1345,Precinct Committee Officer - Democratic,Joanna Grist,1
36,SEA 36-1345,Precinct Committee Officer - Democratic,James Apa,2
36,SEA 36-1743,Precinct Committee Officer - Democratic,Claire Ramos,1
36,SEA 36-1743,Precinct Committee Officer - Democratic,Laura Marie Rivera,2
36,SEA 36-2166,Precinct Committee Officer - Democratic,Etan Berkowitz,1
36,SEA 36-2166,Precinct Committee Officer - Democratic,Brad Nelson,2
36,SEA 36-2170,Precinct Committee Officer - Democratic,Sue Moser,1
36,SEA 36-2170,Precinct Committee Officer - Democratic,Kiana Scott,2
37,SEA 37-1555,Precinct Committee Officer - Democratic,Kendall Oehler,1
37,SEA 37-1555,Precinct Committee Officer - Democratic,Greg Thiessen,2
37,SEA 37-1608,Precinct Committee Officer - Democratic,Joe Harrington,1
37,SEA 37-1608,Precinct Committee Officer - Democratic,E. Bailey Medilo,2
37,SEA 37-1608,Precinct Committee Officer - Democratic,Melissa Falcone,3
37,SEA 37-1617,Precinct Committee Officer - Democratic,Scott Winn,1
37,SEA 37-1617,Precinct Committee Officer - Democratic,Carla McLean,2
37,SEA 37-1636,Precinct Committee Officer - Democratic,Daniel Escapa,1
37,SEA 37-1636,Precinct Committee Officer - Democratic,Chukundi Salisbury Sr,2
37,SEA 37-1838,Precinct Committee Officer - Democratic,Bridgette Maryman,1
37,SEA 37-1838,Precinct Committee Officer - Democratic,Jamie Fackler,2
37,SEA 37-1871,Precinct Committee Officer - Democratic,April Vian,1
37,SEA 37-1871,Precinct Committee Officer - Democratic,Beth Brunton,2
37,SEA 37-1882,Precinct Committee Officer - Democratic,Jennifer Parada,1
37,SEA 37-1882,Precinct Committee Officer - Democratic,Casey Smith,2
37,SEA 37-1898,Precinct Committee Officer - Democratic,Robert Stephens Jr,1
37,SEA 37-1898,Precinct Committee Officer - Democratic,Carla Curio,2
37,SEA 37-1900,Precinct Committee Officer - Democratic,Megan Riel-Mehan,1
37,SEA 37-1900,Precinct Committee Officer - Democratic,Heather Hess,2
37,SEA 37-1919,Precinct Committee Officer - Democratic,Maya Cutforth,1
37,SEA 37-1919,Precinct Committee Officer - Democratic,Kirky Hanson,2
37,SEA 37-1938,Precinct Committee Officer - Democratic,Ian Mosher,1
37,SEA 37-1938,Precinct Committee Officer - Democratic,Marietta Zintak,2
37,SEA 37-3729,Precinct Committee Officer - Democratic,Chio Saeteurn,1
37,SEA 37-3729,Precinct Committee Officer - Democratic,Eric Buley,2
37,SEA 37-3729,Precinct Committee Officer - Democratic,Suresh Chanmugam,3
37,SEA 37-3802,Precinct Committee Officer - Democratic,Fernando Medina Corey,1
37,SEA 37-3802,Precinct Committee Officer - Democratic,Brandon Heechan Gim,2
43,SEA 43-1359,Precinct Committee Officer - Democratic,Tim Gould,1
43,SEA 43-1359,Precinct Committee Officer - Democratic,Linda J Clifton,2
43,SEA 43-1373,Precinct Committee Officer - Democratic,Carl Slater,1
43,SEA 43-1373,Precinct Committee Officer - Democratic,Aaron Wheeler,2
43,SEA 43-1851,Precinct Committee Officer - Democratic,Daniel Heppner,1
43,SEA 43-1851,Precinct Committee Officer - Democratic,Bryce Kolton,2
43,SEA 43-1859,Precinct Committee Officer - Democratic,Adora Blue,1
43,SEA 43-1859,Precinct Committee Officer - Democratic,Erik Wren,2
43,SEA 43-1859,Precinct Committee Officer - Democratic,Aaron McCloud,3
43,SEA 43-1860,Precinct Committee Officer - Democratic,Emeka Alozie,1
43,SEA 43-1860,Precinct Committee Officer - Democratic,Leonard Harrison Jerome,2
43,SEA 43-1870,Precinct Committee Officer - Democratic,Sean Butterfield,1
43,SEA 43-1870,Precinct Committee Officer - Democratic,Jase Pickering,2
43,SEA 43-1976,Precinct Committee Officer - Democratic,Amy Madden,1
43,SEA 43-1976,Precinct Committee Officer - Democratic,Matthew Epshtein,2
43,SEA 43-1993,Precinct Committee Officer - Democratic,Bob Mahon,1
43,SEA 43-1993,Precinct Committee Officer - Democratic,Anne Purcell,2
43,SEA 43-2040,Precinct Committee Officer - Democratic,Jeremy Erdman,1
43,SEA 43-2040,Precinct Committee Officer - Democratic,Seth May,2
43,SEA 43-2542,Precinct Committee Officer - Democratic,Paul Lee,1
43,SEA 43-2542,Precinct Committee Officer - Democratic,Aspen Coyle,2
46,SEA 46-1271,Precinct Committee Officer - Democratic,Chanpreet Singh,1
46,SEA 46-1271,Precinct Committee Officer - Democratic,Grant Peltier,2
46,SEA 46-1403,Precinct Committee Officer - Democratic,Stephen Paolini,1
46,SEA 46-1403,Precinct Committee Officer - Democratic,Brandon Monson,2
46,SEA 46-2252,Precinct Committee Officer - Democratic,Paul Nacamuli,1
46,SEA 46-2252,Precinct Committee Officer - Democratic,Frank Field,2
46,SEA 46-2295,Precinct Committee Officer - Democratic,David Lichter,1
46,SEA 46-2295,Precinct Committee Officer - Democratic,Sharon London,2
46,SEA 46-2314,Precinct Committee Officer - Democratic,Sylvia Haven,1
46,SEA 46-2314,Precinct Committee Officer - Democratic,Nancy Lichter,2
46,SEA 46-2323,Precinct Committee Officer - Democratic,Ed Freeman,1
46,SEA 46-2323,Precinct Committee Officer - Democratic,Matt Weatherford,2
46,SEA 46-2361,Precinct Committee Officer - Democratic,Hunter Brown,1
46,SEA 46-2361,Precinct Committee Officer - Democratic,Lisa Rivera,2
46,SEA 46-3262,Precinct Committee Officer - Democratic,Tara Gallagher,1
