PrecinctName,CityName,SeattleCouncilDistrict
SEA 32-2153,Seattle,5
SEA 32-2200,Seattle,5
SEA 32-2201,Seattle,5
SEA 32-2202,Seattle,5
SEA 32-2203,Seattle,5
SEA 32-2204,Seattle,5
SEA 32-2206,Seattle,5
SEA 32-2208,Seattle,5
SEA 32-2209,Seattle,5
SEA 32-2210,Seattle,5
SEA 32-2211,Seattle,5
SEA 32-2215,Seattle,5
SEA 32-2216,Seattle,5
SEA 32-2217,Seattle,5
SEA 32-2218,Seattle,5
SEA 32-2221,Seattle,5
SEA 32-2224,Seattle,5
SEA 32-2539,Seattle,5
SEA 32-3568,Seattle,5
SEA 32-3656,Seattle,5
SEA 32-3746,Seattle,5
SEA 32-3943,Seattle,5
SEA 32-3944,Seattle,5
SEA 34-1245,Seattle,1
SEA 34-1246,Seattle,1
SEA 34-1247,Seattle,1
SEA 34-1248,Seattle,1
SEA 34-1249,Seattle,1
SEA 34-1250,Seattle,1
SEA 34-1251,Seattle,1
SEA 34-1252,Seattle,1
SEA 34-1254,Seattle,1
SEA 34-1255,Seattle,1
SEA 34-1256,Seattle,1
SEA 34-1257,Seattle,1
SEA 34-1258,Seattle,1
SEA 34-1259,Seattle,1
SEA 34-1408,Seattle,1
SEA 34-1409,Seattle,1
SEA 34-1410,Seattle,1
SEA 34-1411,Seattle,1
SEA 34-1412,Seattle,1
SEA 34-1413,Seattle,1
SEA 34-1414,Seattle,1
SEA 34-1415,Seattle,1
SEA 34-1416,Seattle,1
SEA 34-1418,Seattle,1
SEA 34-1419,Seattle,1
SEA 34-1420,Seattle,1
SEA 34-1422,Seattle,1
SEA 34-1423,Seattle,1
SEA 34-1424,Seattle,1
SEA 34-1425,Seattle,1
SEA 34-1426,Seattle,1
SEA 34-1427,Seattle,1
SEA 34-1428,Seattle,1
SEA 34-1429,Seattle,1
SEA 34-1430,Seattle,1
SEA 34-1431,Seattle,1
SEA 34-1432,Seattle,1
SEA 34-1433,Seattle,1
SEA 34-1434,Seattle,1
SEA 34-1435,Seattle,1
SEA 34-1436,Seattle,1
SEA 34-1437,Seattle,1
SEA 34-1438,Seattle,1
SEA 34-1439,Seattle,1
SEA 34-1440,Seattle,1
SEA 34-1441,Seattle,1
SEA 34-1442,Seattle,1
SEA 34-1443,Seattle,1
SEA 34-1444,Seattle,1
SEA 34-1446,Seattle,1
SEA 34-1448,Seattle,1
SEA 34-1449,Seattle,1
SEA 34-1450,Seattle,1
SEA 34-1451,Seattle,1
SEA 34-1452,Seattle,1
SEA 34-1453,Seattle,1
SEA 34-1454,Seattle,1
SEA 34-1455,Seattle,1
SEA 34-1456,Seattle,1
SEA 34-1457,Seattle,1
SEA 34-1458,Seattle,1
SEA 34-1459,Seattle,1
SEA 34-1460,Seattle,1
SEA 34-1461,Seattle,1
SEA 34-1462,Seattle,1
SEA 34-1463,Seattle,1
SEA 34-1464,Seattle,1
SEA 34-1465,Seattle,1
SEA 34-1466,Seattle,1
SEA 34-1467,Seattle,1
SEA 34-1468,Seattle,1
SEA 34-1469,Seattle,1
SEA 34-1470,Seattle,1
SEA 34-1471,Seattle,1
SEA 34-1472,Seattle,1
SEA 34-1473,Seattle,1
SEA 34-1474,Seattle,1
SEA 34-1475,Seattle,1
SEA 34-1476,Seattle,1
SEA 34-1477,Seattle,1
SEA 34-1478,Seattle,1
SEA 34-1479,Seattle,1
SEA 34-1480,Seattle,1
SEA 34-1481,Seattle,1
SEA 34-1482,Seattle,1
SEA 34-1484,Seattle,1
SEA 34-1485,Seattle,1
SEA 34-1486,Seattle,1
SEA 34-1487,Seattle,1
SEA 34-1488,Seattle,1
SEA 34-1489,Seattle,1
SEA 34-1490,Seattle,1
SEA 34-1493,Seattle,1
SEA 34-1494,Seattle,1
SEA 34-1496,Seattle,1
SEA 34-1497,Seattle,1
SEA 34-1498,Seattle,1
SEA 34-1499,Seattle,1
SEA 34-1500,Seattle,1
SEA 34-1501,Seattle,1
SEA 34-1502,Seattle,1
SEA 34-1504,Seattle,1
SEA 34-1506,Seattle,1
SEA 34-1507,Seattle,1
SEA 34-1508,Seattle,1
SEA 34-1509,Seattle,1
SEA 34-1510,Seattle,1
SEA 34-1511,Seattle,1
SEA 34-1512,Seattle,1
SEA 34-1513,Seattle,1
SEA 34-1514,Seattle,1
SEA 34-1515,Seattle,1
SEA 34-1516,Seattle,1
SEA 34-1517,Seattle,1
SEA 34-1518,Seattle,1
SEA 34-1519,Seattle,1
SEA 34-1520,Seattle,1
SEA 34-1521,Seattle,1
